id,editor_id,created_by_id,players_min_id,updated_by_id,players_max_id,duration_game_id,updated_at,image,name,initeditor,year,slug,is_deliverable,is_occasion,weigth,age,ht_price,is_deee,is_online,created_at,content,content_message,rvj2id,linktopresentationvideo
1,1,3,2,NULL,4,1,2024-11-10 21:14:28,attrape-poissons_1.png,ATTRAPE POISSONS,FNAC EVEIL ET JEUX,NULL,ATTRAPE-POISSONS,0,0,0,4,0,0,0,2022-01-31 21:49:26,"1 pion baleine 
6 cannes à pêche bleu
1 dé
1 règle du jeu",NULL,1,NULL
2,2,3,2,NULL,4,1,2024-11-10 21:14:28,attrap-souris_2.png,ATTRAP&#039; SOURIS,MB,1999,ATTRAP-and-039-SOURIS,0,1,1092,6,1200,1,0,2022-01-31 21:49:26,"1 plateau de jeu
4 souris en plastique
1 bille en métal (diamètre 16 mm)
1 boulet
25 pièces de construction
1 élastique
52 morceaux de fromage
1 dé 
1 règle du jeu",NULL,2,NULL
3,2,3,1,NULL,4,1,2024-11-10 21:14:28,zzzz.jpg,ZZZZ,ZZZZ,2024,ZZZZ,0,0,0,1,0,0,0,2022-01-31 21:49:26,NULL,NULL,RVJ3,NULL
4,2,3,1,NULL,4,1,2024-11-10 21:14:28,zzzz.jpg,ZZZZ,ZZZZ,2024,ZZZZ,0,0,0,1,0,0,0,2022-01-31 21:49:26,NULL,NULL,RVJ3,NULL
5,2,3,1,NULL,4,1,2024-11-10 21:14:28,zzzz.jpg,ZZZZ,ZZZZ,2024,ZZZZ,0,0,0,1,0,0,0,2022-01-31 21:49:26,NULL,NULL,RVJ3,NULL
6,2,3,1,NULL,4,1,2024-11-10 21:14:28,zzzz.jpg,ZZZZ,ZZZZ,2024,ZZZZ,0,0,0,1,0,0,0,2022-01-31 21:49:26,NULL,NULL,RVJ3,NULL
7,2,3,1,NULL,4,1,2024-11-10 21:14:28,zzzz.jpg,ZZZZ,ZZZZ,2024,ZZZZ,0,0,0,1,0,0,0,2022-01-31 21:49:26,NULL,NULL,RVJ3,NULL
8,2,3,1,NULL,4,1,2024-11-10 21:14:28,zzzz.jpg,ZZZZ,ZZZZ,2024,ZZZZ,0,0,0,1,0,0,0,2022-01-31 21:49:26,NULL,NULL,RVJ3,NULL
9,2,3,1,NULL,4,1,2024-11-10 21:14:28,zzzz.jpg,ZZZZ,ZZZZ,2024,ZZZZ,0,0,0,1,0,0,0,2022-01-31 21:49:26,NULL,NULL,RVJ3,NULL
10,3,3,2,NULL,4,1,2024-11-10 21:14:28,backgammon_10.png,BACKGAMMON,JUMBO,1990,BACKGAMMON,0,0,0,0,NULL,0,0,2022-01-31 21:49:26,"1 plateau de jeu
15 jetons foncés
15 jetons clairs
2 dés 6 
1 dé spécial 
Règle du jeu",NULL,10,NULL
