"idMedia","date","titre","autor","content","lien","actif"
"1","1608188880","À Caen, Antoine vend des pièces de jeux de société pour les compléter au lieu de les jeter","FRANCE INTER","blabla","https://www.franceinter.fr/refaites-vos-jeux-completer-ses-jeux-de-societe-au-lieu-de-les-jeter","1"
"2","1607722500","Vendre des pièces détachées pour ne plus jeter les jeux de société, l'idée simple et écolo de "Refaites vos jeux","FRANCE 3","blabla","https://france3-regions.francetvinfo.fr/normandie/calvados/caen/catalogue-pieces-detachees-jeux-societe-ca-existe-c-est-refaites-vos-jeux-1904734.html","1"
"3","1607812500",,"MELTING POT ASSOC","blabla","https://meltingpotassoc.com/2020/12/12/refaites-vos-jeux-cest-quoi/","0"
"4","1609803300","Refaites vos jeux : la seconde vie des jeux de société","EUROPE 1","blablablablabla","https://www.europe1.fr/emissions/le-pressing/refaites-vos-jeux-la-seconde-vie-des-jeux-de-societe-4016051","1"
"5","1605825300","Refaites vos jeux !","LA TARTINE","blabla","https://www.latartine.org/refaites-vos-jeux/","1"
"6","1607981700","Ne jetez plus vos jeux de société incomplets","DEALABS","blabla","https://www.dealabs.com/discussions/ne-jetez-plus-vos-jeux-de-societe-incomplets-2051131","1"
"7","1608334500","À Caen, Antoine vend des pièces de jeux de société pour les compléter au lieu de les jeter","LIBERTÉ LE BONHOMME LIBRE","blabla","https://actu.fr/normandie/caen_14118/a-caen-antoine-vend-des-pieces-de-jeux-de-societe-pour-les-completer-au-lieu-de-les-jeter_38200282.html","1"
"8","1609281300",,"CHEMINS de TRAVERSE","blablablablabla","https://cheminstraverse.fr/2020/12/29/refaites-vos-jeux-seconde-vie-incomplets/","0"
"15","1613826300","Cet homme possède les pièces manquantes de vos jeux de société ! Rencontre avec le créateur de la plateforme « Refaites vos jeux ».","NEO","Vidéo de présentation","https://www.facebook.com/neotvofficiel/posts/185351253366408","1"
"16","1616175000","Antoine vient au secours de vos jeux de société incomplets","TÉLÉGRAMME","Article sur le service","https://www.letelegramme.fr/soir/antoine-vient-au-secours-de-vos-jeux-de-societe-incomplets-19-03-2021-12721685.php","1"
"17","1616513640","Insolite. Donnez une seconde vie à vos vieux jeux de société grâce à cette initiative normande","PARIS NORMANDIE","Article sur le service","https://www.paris-normandie.fr/id176241/article/2021-03-23/insolite-donnez-une-seconde-vie-vos-vieux-jeux-de-societe-grace-cette-initiative?fbclid=IwAR0KUdraz5qbKPs7aJ_i2IQduE_-rZB06_znQgDZqDTWeOCcuvw87-cYJsA","1"
"18","1618773240","Antoine Gallée a créé un service de pièces détachées pour jeux de société","LE PETIT BLEU","Description du service.","https://actu.fr/societe/antoine-gallee-a-cree-un-service-de-pieces-detachees-pour-jeux-de-societe_41020174.html/amp","1"
"19","1618313100","Compléter vos boîtes de jeux de société, un métier pour le breton Antoine Gallée","FRANCE BLEU BREIZH IZEL","Description du servie.","https://www.francebleu.fr/emissions/ils-sont-fous-ces-bretons/breizh-izel/completer-vos-boites-de-jeux-de-societe-un-metier-pour-le-breton-antoine-gallee","1"
"20","1608466080","Refaites vos jeux","LE FIGARO","Description du service.","https://plus.lefigaro.fr/tag/refaites-vos-jeux","1"
"21","1616685120","Près de Caen. Refaites vos jeux (de société) : il a la pièce qui vous manque","LA MANCHE LIBRE","Description du service.","https://www.lamanchelibre.fr/actualite-933276-pres-de-caen-refaites-vos-jeux-de-societe-il-a-la-piece-qui-vous-manque","1"
"22","1609435020","Antoine Gallée vend cartes, pions et jetons pour jeux de société incomplets","LE PARISIEN","Description du service.","https://www.leparisien.fr/societe/antoine-gallee-vend-cartes-pions-et-jetons-pour-jeux-de-societe-incomplets-31-12-2020-8416777.php","1"
"23","1606320900","Vendre des pièces détachées pour ne plus jeter les jeux de société, l'idée simple et écolo de "Refaites vos jeux"","OUEST FRANCE","Description du service.","https://www.ouest-france.fr/normandie/caen-14000/caen-des-pieces-detachees-pour-sauver-les-vieux-jeux-de-societe-7062210","1"
"25","1610558040","Des jeux incomplets ? Rachetez les pièces détachées !","LE JOURNAL DE LA HTE MARNE","Description du service.","https://www.jhm.fr/enfants/des-jeux-incomplets-rachetez-les-pieces-detachees/","1"
"26","1620108000","Jeux de société : des pièces détachées désormais en vente à Caen","EUROPE 1 (audio)","ezhfqozhgqoeyhgqoehg","https://www.europe1.fr/emissions/le-pressing/jeux-de-societe-des-pieces-detachees-desormais-en-vente-a-caen-4042709.amp","1"
"27","1620381600","Refaites vos jeux !","FRANCE INTER","blablablablabla","https://www.franceinter.fr/emissions/les-bonnes-ondes/les-bonnes-ondes-07-mai-2021","1"
"28","1620655980","Antoine Gallée, (dé)joue d’une génération à l’autre","JÉRÔME BLAIN (Linkedin)","zefgLEEFGkefhmkhfQEF","https://www.linkedin.com/pulse/antoine-gall%25C3%25A9e-d%25C3%25A9joue-dune-g%25C3%25A9n%25C3%25A9ration-%25C3%25A0-lautre-j%25C3%25A9r%25C3%25B4me-blain?fbclid=IwAR1o3RCEhjZv2hvfqbbG2DNeeYdrfIg7Ad1ZSiJ2zuBcAA_BOZlpGRAqWd8","1"
